SR.NO,Country Code ,Latitude,Longitude,Country,City,Name of The Place,Type of the Place,Place Info,Suggested Duration,Adnission Tickests From,Place Image,Visit Website
11,44,51.509865,-0.118092,United Kingdom,London,The View from The Shard,Toutist Attraction,"Located 800ft above the ground, The View from The Shard is the highest viewing platform in London and is the only place to see the entire city all at once. The viewing galleries on Level 69 and the open-air Skydeck on Level 72 provide spectacular 360° views of London and beyond. In fact, on a clear day, visitors can see for 40 miles. ",1-2 hours,https://www.theviewfromtheshard.com/book-tickets/,,https://www.theviewfromtheshard.com/
12,44,51.509865,-0.118092,United Kingdom,London,Cotswolds,Toutist Attraction,"So-called because of the honey-coloured stone used to build its villages, the Cotswolds offers visitors the quintessential English experience. The area spans five counties and boasts some of England’s most impressive country houses, castles, and landscapes. Plus, plentiful pubs make it easy to experience authentic English hospitality.",,,,
13,44,51.509865,-0.118092,United Kingdom,London,Madame Tussauds London ,,"Madame Tussauds is a wax museum founded in 1835 (188 years ago) by French wax sculptor Marie Tussaud in London, spawning similar museums in major cities around the world. While it used to be spelled as ""Madame Tussaud's"", the apostrophe is no longer used.A major tourist attraction in London since the Victorian era, Madame Tussauds displays the waxworks of famous and historical figures, as well as popular film and television characters played by famous actors.",1-2 hours,https://www.madametussauds.com/london/tickets-prices/,,https://www.madametussauds.com/london/
14,1,40.7128°,74.006,United States,New York,Empire State Building,Architectural Buildings ,"The Empire State Building is the World's Most Famous Building. It rises 1,454 ft from ground to antenna & features the only 360 degree open-air vantage point of Midtown. The 86th & 102nd Fl Observatories are open daily, see esbnyc.com for hours. On a clear day you can see up to 6 states.",1-2 hours,https://www.esbnyc.com/buy-tickets,,https://www.esbnyc.com/about
15,1,40.7128°,74.006,United States,New York,The National 9/11 Memorial & Museum, Historic Sites,"Through commemoration, exhibitions and educational programs, The National September 11 Memorial & Museum, a nonprofit in New York City, remembers and honors the 2,983 people killed in the horrific attacks of September 11, 2001, and February 26, 1993, as well as those who risked their lives to save others and all who demonstrated extraordinary compassion in the aftermath of the attacks.",2-3 hours,https://www.911memorial.org/visit/visit-museum-1,,https://www.911memorial.org/
16,1,40.7128°,74.006,United States,New York,The Metropolitan Museum of Art, Art Museums,"At New York City's most visited museum and attraction, you will experience over 5,000 years of art from around the world. The Met is for anyone as a source of inspiration, insight and understanding. You can learn, escape, play, dream, discover, connect.",2-3 hours,https://engage.metmuseum.org/admission?_gl=1*2fwfzb*_ga*MTkzOTM1Njg0NC4xNjkyMDEwOTQ3*_ga_Y0W8DGNBTB*MTY5MjAxMDk0Ny4xLjAuMTY5MjAxMDk0Ny4wLjAuMA..,,https://www.metmuseum.org/
17,1,40.7128°,74.006,United States,New York,Manhattan Helicopter Tour,Toutist Attraction,"Enjoy a bird’s eye view of New York City’s top attractions—and admire a perspective of the city that most visitors miss—with this deluxe helicopter tour. Pick from numerous daily flight times, and above the city’s bustle. With your pilot’s guidance, spot highlights like the Empire State Building, Times Square, and Central Park. You’ll even venture farther north than most helicopter tours to see Harlem and Yankee Stadium.",<1,https://manhattanhelicopters.com/manhattan-helicopter-tours/deluxe-manhattan-helicopter-tour/,,https://manhattanhelicopters.com/manhattan-helicopter-tours/deluxe-manhattan-helicopter-tour/
18,1,40.7128°,74.006,United States,New York,Edge Observation Deck,Toutist Attraction,,1-2 hours,https://www.edgenyc.com/en/buy-tickets,,https://www.edgenyc.com/en
19,1,40.7128°,74.006,United States,New York,New York City Statue of Liberty ,Toutist Attraction,"The Statue of Liberty is a colossal neoclassical sculpture on Liberty Island in New York Harbor in New York City, in the United States. The copper statue, a gift from the people of France, was designed by French sculptor Frédéric Auguste Bartholdi and its metal framework was built by Gustave Eiffel.",,https://www.statueoflibertytickets.com/Statue-Of-Liberty-Tours/,,https://www.statueoflibertytickets.com/?gclid=Cj0KCQjwoeemBhCfARIsADR2QCt7dgRH5yQWMhE7hVbpGLzpN_C8HUSmsMrGIHsQzd2NSlVecQJhwL0aAvljEALw_wcB
20,1,40.7128°,74.006,United States,New York,Central Park,Scenic Walking Areas,"For more than 150 years, visitors have flocked to Central Park's 843 green acres in the heart of Manhattan. Since 1980, the Park has been managed by the Central Park Conservancy, in partnership with the public. Central Park is open 6 am to 1 am daily. Visit the official website of Central Park to learn more about Park happenings and activities and to learn how you to help Central Park!",More than 3 hours,,,https://www.centralparknyc.org/
21,1,40.7128°,74.006,United States,New York,Manhattan Skyline,Toutist Attraction,"From the Chrysler Building to the Empire State Building, this world-famous skyline view of New York's most densely populated borough is a must-see for any traveler.",,,,
22,1,40.7128°,,United States,New York,Brooklyn Bridge,Toutist Attraction,"Opened in 1883, the Brooklyn Bridge provides passage between Brooklyn and Manhattan for motorists, trains, bicycles and pedestrians. One of the primary symbols of New York City, it is a marvel of design and provides spectacular views of the city's skyline.",< 1 hour,,,https://www.nyc.gov/html/dot/html/infrastructure/bridges.shtml
23,,,,,,,,,,,,
24,,,,,,,,,,,,
25,,,,,,,,,,,,
26,,,,,,,,,,,,
27,,,,,,,,,,,,
